Id,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,FullBath,GarageCars,SalePrice,SalePrice_Log,Nbhd_Num,ExtQual_Num,BsmtQual_Num,KQual_Num,GrLivArea_Log
40,4,1955,1955,0,2,0,82000,11.314474526246391,1,1,1,1,7.049254841255837
41,6,1965,1965,1088,2,2,160000,11.982929094215963,2,1,1,2,7.188412736496954
42,5,1959,1959,1350,1,1,170000,12.043553716032399,2,1,1,2,7.191429330036379
43,5,1983,1983,840,1,2,144000,11.877568578558138,2,1,2,3,6.784457062637643
44,5,1975,1980,938,1,1,130250,11.777210959615614,2,1,2,2,6.843749949006225
45,5,1959,1959,1150,1,1,141000,11.856515169360305,2,1,1,2,7.047517221357296
46,9,2005,2005,1752,2,2,319900,12.675763725937609,3,1,3,4,7.468513271496337
47,7,2003,2003,1434,1,2,239686,12.387085012375499,2,2,3,3,7.67275789664251
48,8,2006,2006,1656,2,3,249700,12.428015476267865,2,2,2,3,7.412160334945205
49,4,1920,2008,736,2,0,113000,11.635143097694478,1,1,1,2,7.280697195384741
50,5,1966,1966,955,1,1,127000,11.751942365440728,1,1,1,2,6.86171134048073
51,6,1997,1997,794,2,2,177000,12.083905011555967,2,1,2,2,7.293017679772782
52,6,1934,1950,816,1,2,114500,11.648330101976432,1,1,1,2,7.069874128458572
53,5,1963,1963,816,1,2,110000,11.608235644774552,1,1,2,2,6.704414354964107
54,9,1981,1987,1842,0,3,385000,12.86099861326992,2,2,3,3,7.518607216815252
55,5,1955,1955,384,1,2,130000,11.77528972943772,2,1,1,2,7.215239978730097
56,6,1964,1964,1425,2,2,180500,12.103486056755072,2,1,1,2,7.261927092702751
57,8,1999,2000,970,2,2,172500,12.058152515453552,2,2,2,3,7.461065514354283
58,7,2004,2004,860,2,2,196500,12.188417710291453,2,2,2,3,7.450079569807499
59,10,2006,2006,1410,3,3,438780,12.991753427493052,3,1,3,3,7.987864096085687
60,5,1972,1972,780,1,1,124900,11.73526869611367,2,1,1,2,6.659293919683638
61,6,2004,2004,1158,1,2,158000,11.970350312009105,2,1,2,3,7.05444965813294
62,5,1920,1996,530,1,1,101000,11.522875795823397,1,1,1,1,7.01301578963963
63,8,2006,2006,1370,2,2,202500,12.218495165528731,3,2,2,3,7.222566018822171
64,7,1921,1950,576,2,2,140000,11.84939770159144,1,1,1,2,7.444248649496705
65,7,1997,1998,1057,2,2,219500,12.299107511497363,2,1,2,3,7.617759576608505
66,8,2004,2005,1143,2,3,317000,12.666657052859417,3,2,3,3,7.813187267521416
67,7,1970,1989,1947,2,2,180000,12.100712129872347,2,1,2,2,7.699389406256737
68,7,2003,2003,1453,2,2,226000,12.328290278254423,2,2,2,3,7.2991214627108
69,4,1945,1950,747,1,1,80000,11.289781913656018,1,1,1,2,6.616065185132817
70,7,1953,1953,1304,2,2,225000,12.323855681186558,2,2,1,2,7.734996194022781
71,7,1973,1973,2223,2,2,244000,12.404923504275338,2,1,2,2,7.706612913964197
72,4,1982,2006,845,1,2,129500,11.771436160121729,2,1,1,2,6.739336627357174
73,7,1998,1998,832,2,2,185000,12.128111104060462,2,1,2,2,7.4489161025442
74,5,1954,2003,1086,1,2,144900,11.883799128308773,2,1,1,2,6.990256500493881
75,3,1915,1950,840,2,1,107400,11.584315461056901,1,2,1,2,7.380879035564116
76,4,1973,1973,462,1,1,91000,11.418614785498987,1,1,2,2,6.895682697747868
77,4,1956,1956,952,1,1,135750,11.818570237796182,2,1,1,2,6.858565034791365
78,5,1948,2001,672,1,1,127000,11.751942365440728,1,1,1,2,7.158513997329321
79,4,1968,1968,1768,2,0,136500,11.824079893607152,1,1,1,2,7.477604243197589
80,5,1910,1981,440,1,2,110000,11.608235644774552,1,1,1,2,7.114769448366463
81,6,1968,1968,896,2,1,193500,12.173032791451973,2,1,2,3,7.669495251007694
82,6,1998,1998,1237,2,2,153500,11.941455846009388,2,1,3,2,7.198183577101943
83,8,2007,2007,1563,2,3,245000,12.409013489526863,2,1,2,3,7.354362330421477
84,5,1960,1960,1065,1,2,126500,11.747997587149712,2,1,1,2,6.970730078143525
85,7,1995,1996,384,2,2,168500,12.034691028774553,2,1,2,2,7.295735072749282
86,8,1991,1992,1288,2,2,260000,12.468436909997665,3,2,2,3,7.790282380703483
87,6,2005,2005,684,2,2,174000,12.066810578196666,2,2,2,3,7.352441100243583
88,6,2009,2009,612,2,2,164500,12.010665849187564,2,2,2,3,7.1098794630722715
89,3,1915,1982,1013,1,0,85000,11.350406535472453,1,1,1,1,7.330405211844402
90,4,1994,1995,990,1,0,123600,11.724805824005728,2,1,2,2,6.897704943128636
91,4,1950,1950,0,1,2,109900,11.607326140391713,2,1,1,2,6.946975992135418
92,5,1961,1961,1235,1,2,98600,11.498826540590727,2,1,1,2,7.118826249062078
93,5,1921,2006,876,1,2,163500,12.004568269319446,2,1,2,2,6.871091294610546
94,6,1910,1998,1214,2,2,133900,11.804848531679264,1,1,1,2,7.736743682453495
95,6,1997,1997,824,2,2,204750,12.229545001715316,2,1,2,3,7.487733761436444
96,6,1993,1993,680,2,2,185000,12.128111104060462,2,1,2,2,7.293017679772782
97,7,1999,1999,1588,2,2,214000,12.273731294003989,2,2,2,3,7.370230641807081
98,4,1965,1965,960,1,1,94750,11.458997122944673,1,1,1,2,6.866933284461882
99,5,1920,1950,458,1,1,83000,11.326595886778735,1,1,1,2,6.727431724850855
100,4,1959,1959,950,1,0,128950,11.76718001130949,2,1,1,2,7.110696122978827
101,6,1977,2001,1610,2,2,205000,12.230765258120545,2,1,1,3,7.383989457978509
102,6,1985,1985,741,2,2,178000,12.089538829274222,2,2,2,3,7.4570320891223805
103,5,1979,1979,0,2,2,118964,11.686576205316552,2,1,1,2,7.336285660021297
104,7,2009,2009,1226,2,3,198900,12.200557464842063,2,1,2,3,7.111512116496157
105,7,1931,1950,1040,1,1,169500,12.040608205802641,1,1,1,2,7.505492274737424
106,8,2003,2004,1053,2,2,250000,12.429216196844383,2,2,3,3,7.596894438144544
107,4,1885,1995,641,1,1,100000,11.512925464970229,1,1,1,2,6.953684210870537
108,5,1948,1950,789,1,1,115000,11.652687407345388,1,1,1,2,6.670766320845874
109,5,1919,2005,793,2,0,115000,11.652687407345388,1,1,1,1,7.324489979348532
110,6,1977,1977,1844,2,2,190000,12.154779351142624,2,1,2,2,7.519692404116539
111,6,1954,1972,994,2,1,136900,11.82700601127654,1,1,1,2,7.5256399750415355
112,7,2000,2000,384,2,2,180000,12.100712129872347,2,1,2,2,7.265429723253953
113,7,2007,2007,1264,2,3,383970,12.858319703517948,2,2,3,4,7.899524472032198
114,6,1953,1953,1809,2,2,217000,12.287652632522597,2,1,2,3,7.7226775164680035
115,6,1945,2002,1028,2,1,259500,12.46651198158808,2,1,1,3,7.749322464660356
116,6,1999,1999,729,2,2,176000,12.078239274020289,2,1,2,2,7.284820912568604
117,5,1962,1962,1092,1,1,139000,11.842229212112828,1,1,1,2,6.9957661563048505
118,5,2006,2007,1125,1,2,155000,11.951180395901384,1,1,2,2,7.025538314638521
119,7,1990,1990,1673,3,3,320000,12.676076274775909,2,1,2,3,8.07775756373692
120,6,2005,2006,728,2,2,163990,12.007560729337492,2,2,2,3,7.283448228756631
121,6,1969,1969,938,1,2,180000,12.100712129872347,2,1,1,2,6.895682697747868
122,4,1939,1950,732,1,1,100000,11.512925464970229,1,1,1,2,7.023758954738443
123,6,1958,1958,1080,1,1,136000,11.820410164718188,2,1,1,2,6.984716320118266
124,6,1993,1993,1199,2,2,153900,11.94405831982697,2,2,2,3,7.089243155027514
125,6,1979,1998,1362,2,2,181000,12.106252310247962,2,1,2,2,7.368970402194793
126,6,1935,1982,520,1,0,84500,11.344506813345266,1,1,1,2,6.625392368007956
127,6,1976,1976,1078,2,2,128000,11.759785542901755,1,1,2,2,6.86484777797086
128,5,1930,1950,672,1,0,87000,11.37366339763672,1,1,1,2,6.733401891837359
129,6,1966,1966,660,1,2,155000,11.951180395901384,2,1,1,2,7.206377291472252
130,5,1958,1991,1008,1,2,150000,11.918390573078392,2,1,1,4,6.959398512133975
131,7,1966,1966,924,2,2,226000,12.328290278254423,2,1,1,3,7.676473646389156
132,6,2000,2000,992,2,2,244000,12.404923504275338,2,2,2,3,7.627544390488503
133,5,1959,2002,1063,1,2,150750,11.923378114589433,2,1,1,3,7.190676034332207
134,8,2001,2002,1267,2,2,220000,12.301382825334498,2,2,3,3,7.16703787691222
135,5,1968,1993,1461,2,2,180000,12.100712129872347,1,1,1,2,7.450660796211539
136,7,1970,1970,1304,2,2,174000,12.066810578196666,2,1,1,2,7.427738840532894
137,5,1967,1967,1214,2,1,143000,11.870599909242044,2,1,1,2,7.101675971619444
138,7,1988,1989,1907,3,3,171000,12.049418835484797,2,1,1,2,7.580189417944541
139,8,1999,2000,1004,2,3,230000,12.345834587905333,2,2,2,3,7.524021415206125
140,6,1997,1997,928,2,2,231500,12.352335152508426,2,1,2,3,7.475339236566737
141,4,1971,1971,864,1,0,115000,11.652687407345388,2,1,1,2,6.761572768804055
142,7,2005,2005,1734,2,2,260000,12.468436909997665,2,2,2,3,7.458186157340487
143,5,1952,1952,910,2,2,166000,12.01974306733868,2,1,1,2,7.233455418621439
144,7,1999,1999,1490,2,2,204000,12.225875272826354,2,2,2,3,7.313886831633462
145,5,1963,1963,1728,2,2,125000,11.736069016284437,1,1,1,2,7.454719949364001
146,6,2004,2006,970,2,2,130000,11.77528972943772,1,2,2,3,7.443663683115591
147,5,1931,1993,715,1,1,105000,11.56171562913966,1,1,1,2,6.774223886357614
148,7,2001,2001,884,2,2,222500,12.312682380588432,2,2,2,3,7.618251097876695
149,7,2004,2005,1080,1,0,141000,11.856515169360305,2,1,2,3,6.984716320118266
150,5,1936,1950,896,1,1,115000,11.652687407345388,1,1,2,2,7.203405521083095
151,5,1975,1975,969,1,2,122000,11.711776323715394,2,1,1,2,6.876264611890766
152,8,2007,2008,1710,2,3,372402,12.827729194939907,3,2,3,3,7.444248649496705
153,6,1971,1971,825,2,2,190000,12.154779351142624,2,1,1,2,7.597396320212795
154,6,1960,1975,1602,1,2,235000,12.367340793126296,2,1,2,2,7.132497551660044
155,6,1923,1950,1200,1,1,125000,11.736069016284437,1,1,1,2,7.090076835776092
156,6,1924,1950,572,1,0,79000,11.27720313144916,1,1,1,2,6.999422467507961
157,5,1950,1950,0,1,2,109500,11.603679828238693,2,1,1,2,6.946975992135418
158,8,2009,2010,774,2,3,269500,12.504323669331189,2,2,3,4,7.584773077612199
159,7,2004,2005,991,2,2,254900,12.448626590364206,2,2,2,3,7.5740450053721995
160,7,2005,2006,1392,2,2,320000,12.676076274775909,2,2,2,3,7.808729306744399
161,6,1984,1984,1232,2,2,162500,11.998433280751929,2,1,2,2,7.116394144093465
162,9,2003,2004,1572,2,3,412500,12.929991484756872,3,2,3,4,7.889084407035514
163,7,2005,2005,1541,2,2,220000,12.301382825334498,3,2,2,3,7.340186835320115
164,4,1956,1956,882,1,0,103200,11.544424132029599,1,1,1,2,6.782192056006791
165,6,1926,2004,1149,2,1,152000,11.931635799828413,1,1,1,3,7.38770923908104
166,5,1940,1999,644,2,0,127500,11.755871643580617,1,1,1,2,7.2115567333138015
167,5,1955,1993,1617,1,1,190000,12.154779351142624,2,2,1,2,7.532088143541722
168,8,2007,2007,1582,1,3,325624,12.693498620467778,3,2,3,4,7.6783263565068856
169,7,2004,2004,840,2,2,183500,12.119969946476761,2,2,2,3,7.450079569807499
170,8,1981,1981,1686,2,2,228000,12.337100907936577,2,2,2,2,7.442492722794441
171,5,1941,1950,720,1,2,128500,11.763684183317412,1,1,1,2,7.231287004327616
172,6,1960,1960,1080,1,2,215000,12.2783933071098,2,1,1,2,7.412160334945205
173,7,1987,1987,1064,2,2,239000,12.384218830913648,3,2,2,3,7.4770384723196965
174,6,1961,1961,1362,1,2,163000,12.0015054797889,2,1,1,2,7.216709486709457
175,6,1986,1986,1606,2,2,184000,12.122691036591123,2,1,2,2,7.409136443920128
176,6,1950,2001,1202,2,2,243000,12.400816722322686,1,1,1,3,7.67693714581808
177,6,1988,1989,1151,2,2,211000,12.259613412458204,2,2,2,2,7.630461261783627
178,5,1958,1958,1052,2,2,172500,12.058152515453552,1,2,1,3,7.560080465021827
179,9,2008,2009,2216,2,3,501837,13.1260306447518,3,1,3,4,7.711548979629146
180,5,1923,2006,968,1,2,100000,11.512925464970229,1,2,1,2,6.875232087276577
181,6,2000,2000,756,2,2,177000,12.083905011555967,2,2,2,3,7.329749689041512
182,7,1920,1950,793,1,1,200100,12.206572520571825,2,1,1,2,7.496652438168283
183,5,1957,2006,0,1,1,120000,11.695247021764184,1,1,1,2,7.200424892944957
184,7,2003,2003,1362,2,2,200000,12.206072645530174,1,1,2,3,7.641084249174914
185,5,1908,1991,504,1,2,127000,11.751942365440728,1,1,1,2,7.132497551660044
186,10,1892,1993,1107,2,3,475000,13.071070083016778,1,2,1,4,8.190908881182514
187,7,1990,1991,1188,2,2,173000,12.061046873479915,2,1,2,3,7.104144092987527
188,5,1916,1987,660,2,1,135000,11.813030057420567,1,1,1,2,7.412160334945205
189,5,1979,1979,1086,0,2,153337,11.940393392554734,2,1,2,2,7.1098794630722715
190,8,2001,2002,1593,1,2,286000,12.56374708980199,3,2,3,4,7.373374309910049
191,8,1932,1994,853,2,2,315000,12.66032791780777,2,2,2,3,7.910957382845589
192,7,1972,2004,725,1,2,184000,12.122691036591123,2,1,1,3,7.2991214627108
193,7,1999,1999,1431,2,2,192000,12.165250651009918,2,2,2,3,7.266128779556451
194,7,2004,2004,970,2,2,130000,11.77528972943772,1,2,2,3,7.443663683115591
195,5,1972,1972,864,1,1,127000,11.751942365440728,2,1,1,2,6.761572768804055
196,6,1976,1976,855,2,2,148500,11.908340237224891,1,1,2,2,7.283448228756631
197,7,2007,2007,1726,2,3,311872,12.650348126203179,2,1,3,4,7.453561871643373
198,8,1918,1990,1360,2,2,235000,12.367340793126296,2,2,1,3,8.043020885298283
199,6,1912,1950,755,1,0,104000,11.55214617812351,1,1,1,2,7.709308333385869
200,8,2004,2005,1713,2,3,274900,12.524162674153336,3,2,3,4,7.44600149832412
201,4,2003,2004,1121,2,2,140000,11.84939770159144,1,1,2,2,7.02197642307216
202,6,1977,1977,1196,2,2,171500,12.052338545588132,2,1,1,2,7.153833801578843
203,6,1924,1950,617,2,1,112000,11.626254150277232,1,1,1,2,7.177782416195197
204,6,2004,2004,848,1,2,149000,11.911701584927597,2,2,2,3,6.742880635791903
205,5,1947,1950,720,1,1,110000,11.608235644774552,1,1,1,2,7.157735484249907
206,7,1990,1990,1424,2,2,180500,12.103486056755072,2,1,2,2,7.273786317844895
207,5,1962,1962,1140,1,1,143900,11.876873892875459,1,1,1,2,7.4360278163518485
208,4,1960,1960,1100,1,1,141000,11.856515169360305,2,1,1,2,7.003065458786462
209,7,1988,1989,1157,2,2,277000,12.531772785169476,2,2,2,2,7.631431664576906
210,6,1964,1964,1092,1,2,145000,11.884489021402711,2,1,2,2,6.9957661563048505
211,5,1925,1950,864,1,0,98000,11.49272275765271,1,1,1,2,6.761572768804055
212,6,2009,2009,1212,2,2,186000,12.133501952695338,1,1,2,3,7.10002716662926
213,7,2009,2009,900,2,2,252678,12.439871229831715,2,1,2,3,7.524021415206125
214,5,1995,1995,990,1,2,156000,11.957611286231675,2,1,2,2,6.897704943128636
215,6,1977,1977,689,1,1,161750,11.993807212363148,2,1,2,2,7.238496840894365
216,5,1957,1996,1070,1,1,134450,11.80894766169701,2,1,1,3,7.119635638017636
217,7,2004,2004,1436,2,2,210000,12.254862809699606,2,2,2,3,7.269616749608169
218,4,1925,1950,686,1,1,107000,11.580584113444043,1,1,1,2,7.191429330036379
219,7,1939,2006,798,1,2,311500,12.649154617209645,2,2,1,3,7.577633832602728
220,7,2005,2006,1248,2,2,167240,12.0271851854705,2,2,2,3,7.129297548929373
221,7,2006,2006,1498,2,2,204900,12.230277334226992,2,2,2,3,7.311886164077165
222,6,2002,2002,1010,2,2,200000,12.206072645530174,2,2,2,3,7.726212650507529
223,6,1975,1975,713,2,2,179900,12.100156419938624,2,1,2,2,7.347299700743164
224,4,1971,1971,864,1,2,97000,11.48246625748552,2,1,1,2,6.761572768804055
225,10,2003,2003,2392,2,3,386250,12.864240107194092,3,1,3,4,7.779885115070522
226,5,1971,1971,630,2,1,112000,11.626254150277232,1,1,1,2,7.171656822768514
227,7,1995,1995,1203,2,3,290000,12.577636201962656,3,2,2,3,7.832014180505469
228,6,1970,1970,483,1,1,106000,11.571194373094205,1,1,1,2,6.894670039433482
229,5,1967,1967,912,1,1,125000,11.736069016284437,1,1,1,2,6.815639990074331
230,7,2005,2006,1373,2,2,192500,12.167851432709975,2,2,2,3,7.349230824613334
231,6,1959,1959,1194,1,1,148000,11.904967552746252,2,1,1,2,7.085064293952548
232,8,1995,1996,1462,2,3,403000,12.90669184092882,3,2,2,4,7.935229539816907
233,6,1972,1972,483,1,1,94500,11.456355113481834,1,1,1,2,6.894670039433482
234,5,1976,1976,894,1,1,128200,11.761346823468706,2,1,1,2,6.795705775173514
235,6,2002,2002,860,2,2,216500,12.285345826424681,2,2,2,3,7.580699752224563
236,6,1971,1971,483,1,1,89500,11.401993904262946,1,1,1,2,6.894670039433482
237,7,2004,2004,1414,2,2,185500,12.130810161029627,2,2,2,3,7.254177846456518
238,7,1993,2003,996,2,2,194500,12.178187442040638,2,2,2,3,7.463936604468925
239,8,2007,2007,1694,2,3,318000,12.669806661762314,3,1,3,3,7.434847875211999
240,6,1945,1950,735,1,1,113000,11.635143097694478,1,1,1,2,7.304515946460155
241,8,2008,2008,1566,2,2,262500,12.478006361013815,2,2,2,3,7.356279876550748
242,5,1945,1997,686,1,0,110500,11.612770799939945,1,1,1,3,6.763884908562435
243,5,1900,1950,540,1,1,79000,11.27720313144916,1,1,1,2,7.272398392570047
244,6,1980,1980,626,1,1,120000,11.695247021764184,2,1,2,2,7.104144092987527
245,7,1994,2002,948,2,2,205000,12.230765258120545,2,2,2,3,7.6544432264701125
246,7,1988,1988,1845,2,2,241500,12.394624752074764,2,1,2,2,7.534762657037537
247,6,1910,1950,1020,2,1,137000,11.827736204810263,1,1,1,1,7.564238475170491
248,6,1954,1954,1367,1,2,140000,11.84939770159144,2,1,1,2,7.226209010100671
249,7,2003,2003,840,2,2,180000,12.100712129872347,2,2,2,3,7.419380582918692
250,6,1958,2006,1444,2,2,277000,12.531772785169476,2,2,2,3,7.670428522190693
251,3,1940,1966,728,1,0,76500,11.245046019814627,1,1,1,1,7.174724309836376
252,8,2006,2007,1573,2,2,235000,12.367340793126296,2,2,2,3,7.393263094763838
253,6,2004,2004,798,2,2,173000,12.061046873479915,2,2,2,3,7.402451520818244
254,6,1964,1991,1302,2,1,158000,11.970350312009105,2,1,2,3,7.171656822768514
255,5,1957,1957,1314,1,1,145000,11.884489021402711,2,1,1,2,7.1808311990445555
256,7,1999,1999,975,2,2,230000,12.345834587905333,2,2,2,3,7.736743682453495
257,6,2003,2003,864,2,2,207500,12.24288661865289,2,2,2,3,7.454719949364001
258,7,2006,2006,1604,2,2,220000,12.301382825334498,2,2,2,3,7.38025578842646
259,7,2001,2001,963,2,2,231500,12.352335152508426,2,2,2,3,7.491087593534876
260,5,1956,1956,0,1,1,97000,11.48246625748552,1,1,1,2,6.782192056006791
261,6,1962,1962,1362,1,2,176000,12.078239274020289,2,1,1,2,7.231287004327616
262,8,2007,2007,1482,2,3,276000,12.528156144699286,2,2,3,4,7.853216388156072
263,6,1977,1995,506,1,2,151000,11.925035115797062,1,1,2,2,7.10002716662926
264,5,1929,2001,926,1,2,130000,11.77528972943772,1,1,1,2,7.182352111885263
265,5,1925,2004,680,1,2,73000,11.198214720130528,1,1,1,2,6.638567789166521
266,6,1981,1981,1422,2,2,175500,12.075394321888057,2,1,2,3,7.259819610363186
267,6,1997,1997,802,2,2,185000,12.128111104060462,2,1,2,2,7.32052696227274
268,5,1939,1997,720,2,1,179500,12.097930486910471,1,1,1,3,7.692569648067906
269,5,1940,1955,740,1,1,120500,11.699405031912846,1,1,1,2,6.656726524178391
270,6,1976,1976,1143,1,1,148000,11.904967552746252,1,1,1,2,7.014814351275545
271,8,2006,2006,1095,2,3,266000,12.491251587763836,2,2,2,3,7.569927655242652
272,7,1954,2005,1385,1,2,241500,12.394624752074764,2,1,2,2,7.217443431696533
273,8,1999,2007,1152,2,3,290000,12.577636201962656,3,2,2,3,7.727535110475448
274,6,1958,1988,1240,2,1,139000,11.842229212112828,2,1,1,2,7.397561535524052
275,5,1982,1982,816,1,1,124500,11.732060994886899,2,1,1,2,6.704414354964107
276,7,1925,2007,952,2,2,205000,12.230765258120545,1,2,1,4,7.344719054149673
277,7,2003,2003,1560,2,2,201000,12.211060187041213,2,2,3,3,7.352441100243583
278,4,1951,1951,864,1,2,141000,11.856515169360305,2,1,1,2,6.761572768804055
279,9,2006,2007,2121,2,3,415298,12.936751613811438,3,1,3,4,7.659642954564682
280,7,1977,1977,1160,2,2,192000,12.165250651009918,2,1,2,2,7.611842399580417
281,7,1989,1989,807,2,2,228500,12.339291489316397,2,2,2,3,7.591861714889934
282,6,2006,2006,1262,2,2,185000,12.128111104060462,2,2,2,3,7.140453043101158
283,7,2007,2008,1314,2,2,207500,12.24288661865289,3,2,2,3,7.1808311990445555
284,8,2008,2009,1468,2,3,244600,12.407379502235209,2,2,2,3,7.291656209174461
285,6,1992,1992,1575,2,2,179200,12.096257779522967,2,2,2,3,7.362010551259734
286,7,2006,2007,625,2,2,164700,12.011880916165731,2,2,2,3,7.1308988302963465
287,6,1962,1981,912,1,2,159000,11.976659481202368,2,1,1,3,7.458186157340487
288,4,1971,1971,858,1,0,88000,11.385092093460344,2,1,1,2,6.754604099487962
289,5,1967,1967,882,1,1,122000,11.711776323715394,1,1,1,2,6.802394763324311
290,6,1915,2003,698,1,1,153575,11.941944326032129,1,1,1,2,7.241366283322318
291,8,2006,2006,1079,2,2,233230,12.359780370124389,2,2,2,3,7.5595594960077
292,5,1912,2000,780,2,0,135900,11.819674600139235,1,1,1,1,7.447751280047908
293,5,1949,2008,768,1,1,131000,11.782952602183288,1,1,1,2,7.447751280047908
294,7,1977,1994,795,2,2,235000,12.367340793126296,2,1,1,3,7.724446645633537
295,6,1953,1953,1416,1,2,167000,12.025749091398891,2,1,1,2,7.404887575616125
296,6,1984,1984,1003,1,2,142500,11.867097278690842,2,1,1,2,6.910750787961936
297,5,1950,1950,910,1,1,152000,11.931635799828413,1,1,1,2,7.351158226430694
298,7,1997,1998,975,2,2,239000,12.384218830913648,2,2,2,3,7.575584651557793
299,6,1968,1968,702,1,2,175000,12.072541252905651,2,2,1,2,7.463363045520021
300,6,1950,2004,1092,1,1,158500,11.973509872299472,2,1,1,3,7.049254841255837
301,5,1953,1953,1165,1,1,157000,11.964001084330445,2,1,1,2,7.197435354096591
302,8,1998,1999,1028,2,2,267000,12.495003937382387,2,2,2,3,7.804659297056102
303,7,2001,2002,1541,2,3,205000,12.230765258120545,2,2,2,3,7.340186835320115
304,5,1972,1972,894,1,2,149900,11.917723684090689,2,1,1,2,6.795705775173514
305,7,1880,2002,1470,3,3,295000,12.594730635321957,1,1,1,3,8.158516244806831
306,8,2004,2005,2000,2,3,305900,12.631013530138995,2,2,2,3,7.600902459542082
307,7,1990,1991,700,2,3,225000,12.323855681186558,2,2,2,3,7.715569534520208
308,6,1920,1950,319,1,0,89500,11.401993904262946,1,1,1,1,7.2485040723706105
309,4,1940,1950,861,1,2,82500,11.320553572322773,1,1,1,2,6.7580945044277305
310,9,2003,2004,1896,2,3,360000,12.793859310432293,3,2,3,4,7.572502985020384
311,6,1993,1994,697,2,2,165600,12.017330520933296,2,1,2,3,7.313886831633462
312,6,1948,2002,972,1,1,132000,11.790557201568507,2,1,1,2,6.879355804460439
313,5,1939,1950,793,1,2,119900,11.694413341015606,1,1,2,2,7.0192966537150445
314,7,1965,1965,2136,2,2,375000,12.834681304952548,2,1,2,2,7.618742377670413
315,7,1925,1990,728,1,2,178000,12.089538829274222,1,1,1,4,7.403061091090091
316,7,2004,2005,716,2,2,188500,12.146853285870202,2,2,2,3,7.266827347520591
